Symbol,Name,Country,IPO Year,Volume,Sector,Industry
DHIL,Diamond Hill Investment Group Inc. Class A Common Stock,United States,,5795,Finance,Investment Managers
DHR,Danaher Corporation Common Stock,United States,,2834390,Industrials,Industrial Machinery/Components
DHT,DHT Holdings Inc.,Jersey,2005,1804407,Consumer Discretionary,Marine Transportation
DHX,DHI Group Inc. Common Stock,United States,2007,243715,Consumer Discretionary,Business Services
DHY,Credit Suisse High Yield Bond Fund Common Stock,United States,1998,672205,Finance,Finance/Investors Services
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund Common Shares of Beneficial Interest,,2014,73794,Finance,Finance Companies
DIBS,1stdibs.com Inc. Common Stock,United States,2021,44904,Consumer Discretionary,Catalog/Specialty Distribution
DIN,Dine Brands Global Inc. Common Stock,United States,,877457,Consumer Discretionary,Restaurants
DINO,HF Sinclair Corporation Common Stock,United States,1960,1763450,Energy,Natural Gas Distribution
DIOD,Diodes Incorporated Common Stock,United States,,190266,Technology,Semiconductors
DIS,Walt Disney Company (The) Common Stock,United States,,7856029,Consumer Discretionary,Services-Misc. Amusement & Recreation
DIST,Distoken Acquisition Corporation Ordinary Shares,China,2023,2,Finance,Blank Checks
DISTR,Distoken Acquisition Corporation Right,China,2023,1548,Finance,Blank Checks
DISTW,Distoken Acquisition Corporation Warrant,China,2023,1178,Finance,Blank Checks
DIT,AMCON Distributing Company Common Stock,United States,1999,120,Consumer Discretionary,Food Distributors
DJCO,Daily Journal Corp. (S.C.) Common Stock,United States,,26543,Consumer Discretionary,Newspapers/Magazines
DJT,Trump Media & Technology Group Corp. Common Stock,United States,2024,21552104,Technology,Computer Software: Programming Data Processing
DJTWW,Trump Media & Technology Group Corp. Warrants,United States,2021,1607226,Technology,Computer Software: Programming Data Processing
DK,Delek US Holdings Inc. Common Stock,United States,2017,914934,Energy,Integrated oil Companies
DKL,Delek Logistics Partners L.P. Common Units representing Limited Partner Interests,United States,2012,27825,Energy,Natural Gas Distribution
DKNG,DraftKings Inc. Class A Common Stock,United States,2019,8050739,Consumer Discretionary,Services-Misc. Amusement & Recreation
DKS,Dick's Sporting Goods Inc Common Stock,United States,2002,691832,Consumer Discretionary,Other Specialty Stores
DLB,Dolby Laboratories Common Stock,United States,2005,379658,Miscellaneous,Multi-Sector Companies
DLHC,DLH Holdings Corp.,United States,,63896,Consumer Discretionary,Professional Services
DLNG,Dynagas LNG Partners LP Common Units,Greece,,27317,Consumer Discretionary,Marine Transportation
DLNG^A,Dynagas LNG Partners LP 9.00% Series A Cumulative Redeemable Preferred Units,Greece,,5122,,
DLNG^B,Dynagas LNG Partners LP 8.75% Series B Fixed to Floating Rate Cumulative Redeemable Perpetual Preferred Units liquidation preference $25.00 per Uni,Greece,,1485,,
DLO,DLocal Limited Class A Common Shares,Uruguay,2021,2643469,Consumer Discretionary,Business Services
DLPN,Dolphin Entertainment Inc. Common Stock,United States,,19948,Consumer Discretionary,Other Consumer Services
DLR,Digital Realty Trust Inc. Common Stock,United States,2004,1680109,Real Estate,Real Estate Investment Trusts
DLR^J,Digital Realty Trust Inc. 5.250% Series J Cumulative Redeemable Preferred Stock,United States,,8737,,
DLR^K,Digital Realty Trust Inc. 5.850% Series K Cumulative Redeemable Preferred Stock par value $0.01 per share,United States,,14630,,
DLR^L,Digital Realty Trust Inc. 5.200% Series L Cumulative Redeemable Preferred Stock,United States,,19193,,
DLTH,Duluth Holdings Inc. Class B Common Stock,United States,2015,50797,Consumer Discretionary,Clothing/Shoe/Accessory Stores
DLTR,Dollar Tree Inc. Common Stock,United States,1995,3849363,Consumer Discretionary,Department/Specialty Retail Stores
DLX,Deluxe Corporation Common Stock,United States,,179173,Consumer Discretionary,Publishing
DLY,DoubleLine Yield Opportunities Fund Common Shares of Beneficial Interest,United States,2020,174745,Finance,Investment Managers
DM,Desktop Metal Inc. Class A Common Stock,United States,2019,117916,Technology,Industrial Machinery/Components
DMA,Destra Multi-Alternative Fund Common Stock,,2022,11099,Finance,Trusts Except Educational Religious and Charitable
DMAC,DiaMedica Therapeutics Inc. Common Stock,United States,2018,80677,Health Care,Biotechnology: Pharmaceutical Preparations
DMB,BNY Mellon Municipal Bond Infrastructure Fund Inc. Common Stock,,2013,32819,Finance,Trusts Except Educational Religious and Charitable
DMF,BNY Mellon Municipal Income Inc. Common Stock,United States,1988,263452,Finance,Finance/Investors Services
DMLP,Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests,United States,,32348,Energy,Oil & Gas Production
DMO,Western Asset Mortgage Opportunity Fund Inc. Common Stock,United States,2010,59190,Finance,Trusts Except Educational Religious and Charitable
DMRC,Digimarc Corporation Common Stock,United States,,127014,Technology,EDP Services
DNA,Ginkgo Bioworks Holdings Inc. Class A Common Stock,United States,2021,1540619,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNB,Dun & Bradstreet Holdings Inc. Common Stock,United States,2020,1815377,Finance,Finance: Consumer Services
DNLI,Denali Therapeutics Inc. Common Stock,United States,2017,909169,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNMR,Danimer Scientific Inc. Common Stock,United States,2020,807759,Industrials,Major Chemicals
DNN,Denison Mines Corp Ordinary Shares (Canada),Canada,,22213804,Basic Materials,Other Metals and Minerals
DNOW,DNOW Inc. Common Stock,United States,2014,594672,Industrials,Metal Fabrications
DNP,DNP Select Income Fund Inc. Common Stock,United States,1987,514478,Finance,Investment Managers
DNTH,Dianthus Therapeutics Inc. Common Stock,United States,2018,175674,Health Care,Biotechnology: Pharmaceutical Preparations
DNUT,Krispy Kreme Inc. Common Stock,United States,2021,1233615,Consumer Staples,Food Chains
DOC,Healthpeak Properties Inc. Common Stock,United States,,3662596,Real Estate,Real Estate Investment Trusts
DOCN,DigitalOcean Holdings Inc. Common Stock,United States,2021,781335,Technology,Computer Software: Programming Data Processing
DOCS,Doximity Inc. Class A Common Stock,United States,2021,1298530,Technology,EDP Services
DOCU,DocuSign Inc. Common Stock,United States,1989,2043278,Technology,Computer Software: Prepackaged Software
DOGZ,Dogness (International) Corporation Class A Common Stock,China,2017,64042,Consumer Discretionary,Miscellaneous manufacturing industries
DOLE,Dole plc Ordinary Shares,Ireland,2021,485897,Consumer Staples,Farming/Seeds/Milling
DOMA,Doma Holdings Inc. Common Stock,United States,2021,15828,Finance,Specialty Insurers
DOMH,Dominari Holdings Inc. Common Stock,United States,,21950,Health Care,Biotechnology: Pharmaceutical Preparations
DOMO,Domo Inc. Class B Common Stock,United States,2018,317371,Technology,Computer Software: Prepackaged Software
DOOO,BRP Inc. (Recreational Products) Common Subordinate Voting Shares,Canada,,89467,Consumer Discretionary,Industrial Specialties
DORM,Dorman Products Inc. Common Stock,United States,,130008,Consumer Discretionary,Auto Parts:O.E.M.
DOUG,Douglas Elliman Inc. Common Stock,United States,2021,334860,Finance,Real Estate
DOV,Dover Corporation Common Stock,United States,,585598,Industrials,Industrial Machinery/Components
DOW,Dow Inc. Common Stock ,United States,2019,4675794,Industrials,Major Chemicals
DOX,Amdocs Limited Ordinary Shares,Guernsey,,612890,Technology,EDP Services
DOYU,DouYu International Holdings Limited ADS,China,2019,404982,Technology,Computer Software: Programming Data Processing
DPCS,DP Cap Acquisition Corp I Class A Ordinary Shares,United States,2021,3805,Finance,Blank Checks
DPCSW,DP Cap Acquisition Corp I Warrants,United States,2021,228359,Finance,Blank Checks
DPG,Duff & Phelps Utility and Infrastructure Fund Inc.,United States,2011,130377,Finance,Trusts Except Educational Religious and Charitable
DPRO,Draganfly Inc. Common Shares,Canada,,160940,Industrials,Aerospace
DPZ,Domino's Pizza Inc Common Stock,United States,2004,545773,Consumer Discretionary,Food Distributors
DQ,DAQO New Energy Corp. American Depositary Shares each representing five ordinary shares,China,2010,1141324,Technology,Semiconductors
DRCT,Direct Digital Holdings Inc. Class A Common Stock,United States,2022,39861,Consumer Discretionary,Advertising
DRD,DRDGOLD Limited American Depositary Shares,South Africa,,261962,Basic Materials,Precious Metals
DRH,Diamondrock Hospitality Company Common Stock,United States,2005,2080005,Real Estate,Real Estate Investment Trusts
DRH^A,Diamondrock Hospitality Company 8.250% Series A Cumulative Redeemable Preferred Stock,United States,,9132,,
DRI,Darden Restaurants Inc. Common Stock,United States,,1219293,Consumer Discretionary,Restaurants
DRIO,DarioHealth Corp. Common Stock,Israel,,48838,Health Care,Medical/Dental Instruments
DRMA,Dermata Therapeutics Inc. Common Stock,United States,2021,134293,Health Care,Biotechnology: Pharmaceutical Preparations
DRRX,DURECT Corporation Common Stock,United States,2000,52903,Health Care,Biotechnology: Pharmaceutical Preparations
DRS,Leonardo DRS Inc. Common Stock,Israel,,504580,Industrials,Industrial Machinery/Components
DRTS,Alpha Tau Medical Ltd. Ordinary Shares,Israel,,13005,Health Care,Medical/Dental Instruments
DRTSW,Alpha Tau Medical Ltd. Warrant,Israel,,630,Health Care,Medical/Dental Instruments
DRUG,Bright Minds Biosciences Inc. Common Stock,Canada,,1662,Health Care,Biotechnology: Pharmaceutical Preparations
DRVN,Driven Brands Holdings Inc. Common Stock,United States,2021,839044,Consumer Discretionary,Automotive Aftermarket
DSGN,Design Therapeutics Inc. Common Stock,United States,2021,164164,Health Care,Biotechnology: Pharmaceutical Preparations
DSGR,Distribution Solutions Group Inc. Common Stock,United States,,39492,Consumer Discretionary,Industrial Specialties
DSGX,Descartes Systems Group Inc. (The) Common Stock,Canada,,96376,Technology,Computer Software: Prepackaged Software
DSL,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests,United States,2013,291986,Finance,Trusts Except Educational Religious and Charitable
DSM,BNY Mellon Strategic Municipal Bond Fund Inc. Common Stock,United States,1989,70762,Finance,Investment Managers
DSP,Viant Technology Inc. Class A Common Stock,United States,2021,61536,Technology,Computer Software: Programming Data Processing
DSS,DSS Inc. Common Stock,United States,,17924,Consumer Discretionary,Containers/Packaging
DSU,Blackrock Debt Strategies Fund Inc. Common Stock,United States,1998,195767,Finance,Finance Companies
DSWL,Deswell Industries Inc. Common Shares,Macau,1995,2103,Industrials,Plastic Products
DSX,Diana Shipping inc. common stock,Greece,2005,428767,Consumer Discretionary,Marine Transportation
DSX^B,Diana Shipping Inc. Perpetual Preferred Shares Series B (Marshall Islands),Greece,,202,,
DSY,Big Tree Cloud Holdings Limited Ordinary Shares,China,,79062,Consumer Discretionary,Containers/Packaging
DSYWW,Big Tree Cloud Holdings Limited Warrants,China,,36998,Consumer Discretionary,Containers/Packaging
DT,Dynatrace Inc. Common Stock,United States,2019,2453738,Technology,Computer Software: Prepackaged Software
DTB,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080,United States,2020,16338,Utilities,Electric Utilities: Central
DTC,Solo Brands Inc. Class A Common Stock,United States,2021,217005,Consumer Discretionary,Recreational Games/Products/Toys
DTCK,Davis Commodities Limited Ordinary Shares,Singapore,2023,85531,Industrials,Farming/Seeds/Milling
DTE,DTE Energy Company Common Stock,United States,,744237,Utilities,Electric Utilities: Central
DTF,DTF Tax-Free Income 2028 Term Fund Inc. Common Stock,United States,1991,15369,Finance,Investment Managers
DTG,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures,United States,2021,16485,Utilities,Electric Utilities: Central
DTI,Drilling Tools International Corporation Common Stock,United States,2021,14834,Industrials,Metal Fabrications
DTIL,Precision BioSciences Inc. Common Stock,United States,2019,82453,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DTM,DT Midstream Inc. Common Stock ,United States,2021,555789,Utilities,Natural Gas Distribution
DTSQ,DT Cloud Star Acquisition Corporation Ordinary Shares,United States,2024,759595,,
DTSQR,DT Cloud Star Acquisition Corporation Right,United States,2024,50390,,
DTSQU,DT Cloud Star Acquisition Corporation Units,United States,2024,1000,,
DTSS,Datasea Inc. Common Stock,China,,157391,Technology,Computer Software: Prepackaged Software
DTST,Data Storage Corporation Common Stock,United States,,40835,Technology,EDP Services
DTSTW,Data Storage Corporation Warrant,United States,,5550,Technology,EDP Services
DTW,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,United States,2017,13645,Utilities,Electric Utilities: Central
DUK,Duke Energy Corporation (Holding Company) Common Stock,United States,,2925241,Utilities,Power Generation
DUK^A,Duke Energy Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.75% Series A Cumulative Redeemable Perpetual Preferred Stock,United States,,34573,,
DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078,United States,2018,24338,Utilities,Power Generation
DUO,Fangdd Network Group Ltd. American Depositary Shares,China,2019,4327900,Finance,Real Estate
DUOL,Duolingo Inc. Class A Common Stock,United States,2021,620802,Technology,Computer Software: Prepackaged Software
